# QuadID Node1 Node2 Node3 Node4
652 13323 13348 13349 13324
653 13324 13349 13358 13333
654 13333 13358 13363 13338
655 13338 13363 13368 13343
656 11892 13293 14153 12037
657 12037 14153 14158 12042
658 12042 14158 14163 12047
659 12047 14163 14168 12052
660 13293 13318 14173 14153
661 14153 14173 14178 14158
662 14158 14178 14183 14163
663 14163 14183 14188 14168
664 13318 13343 14193 14173
665 14173 14193 14198 14178
666 14178 14198 14203 14183
667 14183 14203 14208 14188
668 13343 13368 14213 14193
669 14193 14213 14218 14198
670 14198 14218 14223 14203
671 14203 14223 14228 14208
672 12052 14168 14297 12181
673 12181 14297 14302 12186
674 12186 14302 14307 12191
675 12191 14307 14312 12196
676 14168 14188 14317 14297
677 14297 14317 14322 14302
678 14302 14322 14327 14307
679 14307 14327 14332 14312
680 14188 14208 14337 14317
681 14317 14337 14342 14322
682 14322 14342 14347 14327
683 14327 14347 14352 14332
684 14208 14228 14357 14337
685 14337 14357 14362 14342
686 14342 14362 14367 14347
687 14347 14367 14372 14352
688 12196 14312 15141 12325
689 12325 15141 15146 12330
690 12330 15146 15151 12335
691 12335 15151 15156 12340
692 14312 14332 15161 15141
693 15141 15161 15166 15146
694 15146 15166 15171 15151
695 15151 15171 15176 15156
696 14332 14352 15181 15161
697 15161 15181 15186 15166
698 15166 15186 15191 15171
699 15171 15191 15196 15176
700 14352 14372 15201 15181
701 15181 15201 15206 15186
702 15186 15206 15211 15191
703 15191 15211 15216 15196
704 12340 15156 15285 12469
705 12469 15285 15290 12474
706 12474 15290 15295 12479
707 12479 15295 15300 12484
708 15156 15176 15305 15285
709 15285 15305 15310 15290
710 15290 15310 15315 15295
711 15295 15315 15320 15300
712 15176 15196 15325 15305
713 15305 15325 15330 15310
714 15310 15330 15335 15315
715 15315 15335 15340 15320
716 15196 15216 15345 15325
717 15325 15345 15350 15330
718 15330 15350 15355 15335
719 15335 15355 15360 15340
720 12484 15300 16129 12613
721 12613 16129 16134 12618
722 12618 16134 16139 12623
723 12623 16139 16144 12628
724 15300 15320 16149 16129
725 16129 16149 16154 16134
726 16134 16154 16159 16139
727 16139 16159 16164 16144
728 15320 15340 16169 16149
729 16149 16169 16174 16154
730 16154 16174 16179 16159
731 16159 16179 16184 16164
732 15340 15360 16189 16169
733 16169 16189 16194 16174
734 16174 16194 16199 16179
735 16179 16199 16204 16184
736 12628 16144 16273 12757
737 12757 16273 16278 12762
738 12762 16278 16283 12767
739 12767 16283 16288 12772
740 16144 16164 16293 16273
741 16273 16293 16298 16278
742 16278 16298 16303 16283
743 16283 16303 16308 16288
744 16164 16184 16313 16293
745 16293 16313 16318 16298
746 16298 16318 16323 16303
747 16303 16323 16328 16308
748 16184 16204 16333 16313
749 16313 16333 16338 16318
750 16318 16338 16343 16323
751 16323 16343 16348 16328
752 12772 16288 16417 12901
753 12901 16417 16422 12906
754 12906 16422 16427 12911
755 12911 16427 16432 12916
756 16288 16308 16437 16417
757 16417 16437 16442 16422
758 16422 16442 16447 16427
759 16427 16447 16452 16432
760 16308 16328 16457 16437
761 16437 16457 16462 16442
762 16442 16462 16467 16447
763 16447 16467 16472 16452
764 16328 16348 16477 16457
765 16457 16477 16482 16462
766 16462 16482 16487 16467
767 16467 16487 16492 16472
768 12916 16432 17261 13045
769 13045 17261 17266 13050
770 13050 17266 17271 13055
771 13055 17271 17276 13060
772 16432 16452 17281 17261
773 17261 17281 17286 17266
774 17266 17286 17291 17271
775 17271 17291 17296 17276
776 16452 16472 17301 17281
777 17281 17301 17306 17286
778 17286 17306 17311 17291
779 17291 17311 17316 17296
780 16472 16492 17321 17301
781 17301 17321 17326 17306
782 17306 17326 17331 17311
783 17311 17331 17336 17316
784 13060 17276 17405 13189
785 13189 17405 17410 13194
786 13194 17410 17415 13199
787 13199 17415 17420 13204
788 17276 17296 17425 17405
789 17405 17425 17430 17410
790 17410 17430 17435 17415
791 17415 17435 17440 17420
792 17296 17316 17445 17425
793 17425 17445 17450 17430
794 17430 17450 17455 17435
795 17435 17455 17460 17440
796 17316 17336 17465 17445
797 17445 17465 17470 17450
798 17450 17470 17475 17455
799 17455 17475 17480 17460
800 13348 18249 18250 13349
801 13349 18250 18259 13358
802 13358 18259 18264 13363
803 13363 18264 18269 13368
804 18249 18274 18275 18250
805 18250 18275 18284 18259
806 18259 18284 18289 18264
807 18264 18289 18294 18269
808 18274 18299 18300 18275
809 18275 18300 18309 18284
810 18284 18309 18314 18289
811 18289 18314 18319 18294
812 18299 18324 18325 18300
813 18300 18325 18334 18309
814 18309 18334 18339 18314
815 18314 18339 18344 18319
816 13368 18269 18429 14213
817 14213 18429 18434 14218
818 14218 18434 18439 14223
819 14223 18439 18444 14228
820 18269 18294 18449 18429
821 18429 18449 18454 18434
822 18434 18454 18459 18439
823 18439 18459 18464 18444
824 18294 18319 18469 18449
825 18449 18469 18474 18454
826 18454 18474 18479 18459
827 18459 18479 18484 18464
828 18319 18344 18489 18469
829 18469 18489 18494 18474
830 18474 18494 18499 18479
831 18479 18499 18504 18484
832 14228 18444 18573 14357
833 14357 18573 18578 14362
834 14362 18578 18583 14367
835 14367 18583 18588 14372
836 18444 18464 18593 18573
837 18573 18593 18598 18578
838 18578 18598 18603 18583
839 18583 18603 18608 18588
840 18464 18484 18613 18593
841 18593 18613 18618 18598
842 18598 18618 18623 18603
843 18603 18623 18628 18608
844 18484 18504 18633 18613
845 18613 18633 18638 18618
846 18618 18638 18643 18623
847 18623 18643 18648 18628
848 14372 18588 18717 15201
849 15201 18717 18722 15206
850 15206 18722 18727 15211
851 15211 18727 18732 15216
852 18588 18608 18737 18717
853 18717 18737 18742 18722
854 18722 18742 18747 18727
855 18727 18747 18752 18732
856 18608 18628 18757 18737
857 18737 18757 18762 18742
858 18742 18762 18767 18747
859 18747 18767 18772 18752
860 18628 18648 18777 18757
861 18757 18777 18782 18762
862 18762 18782 18787 18767
863 18767 18787 18792 18772
864 15216 18732 18861 15345
865 15345 18861 18866 15350
866 15350 18866 18871 15355
867 15355 18871 18876 15360
868 18732 18752 18881 18861
869 18861 18881 18886 18866
870 18866 18886 18891 18871
871 18871 18891 18896 18876
872 18752 18772 18901 18881
873 18881 18901 18906 18886
874 18886 18906 18911 18891
875 18891 18911 18916 18896
876 18772 18792 18921 18901
877 18901 18921 18926 18906
878 18906 18926 18931 18911
879 18911 18931 18936 18916
880 15360 18876 19005 16189
881 16189 19005 19010 16194
882 16194 19010 19015 16199
883 16199 19015 19020 16204
884 18876 18896 19025 19005
885 19005 19025 19030 19010
886 19010 19030 19035 19015
887 19015 19035 19040 19020
888 18896 18916 19045 19025
889 19025 19045 19050 19030
890 19030 19050 19055 19035
891 19035 19055 19060 19040
892 18916 18936 19065 19045
893 19045 19065 19070 19050
894 19050 19070 19075 19055
895 19055 19075 19080 19060
896 16204 19020 19149 16333
897 16333 19149 19154 16338
898 16338 19154 19159 16343
899 16343 19159 19164 16348
900 19020 19040 19169 19149
901 19149 19169 19174 19154
902 19154 19174 19179 19159
903 19159 19179 19184 19164
904 19040 19060 19189 19169
905 19169 19189 19194 19174
906 19174 19194 19199 19179
907 19179 19199 19204 19184
908 19060 19080 19209 19189
909 19189 19209 19214 19194
910 19194 19214 19219 19199
911 19199 19219 19224 19204
912 16348 19164 19293 16477
913 16477 19293 19298 16482
914 16482 19298 19303 16487
915 16487 19303 19308 16492
916 19164 19184 19313 19293
917 19293 19313 19318 19298
918 19298 19318 19323 19303
919 19303 19323 19328 19308
920 19184 19204 19333 19313
921 19313 19333 19338 19318
922 19318 19338 19343 19323
923 19323 19343 19348 19328
924 19204 19224 19353 19333
925 19333 19353 19358 19338
926 19338 19358 19363 19343
927 19343 19363 19368 19348
928 16492 19308 19437 17321
929 17321 19437 19442 17326
930 17326 19442 19447 17331
931 17331 19447 19452 17336
932 19308 19328 19457 19437
933 19437 19457 19462 19442
934 19442 19462 19467 19447
935 19447 19467 19472 19452
936 19328 19348 19477 19457
937 19457 19477 19482 19462
938 19462 19482 19487 19467
939 19467 19487 19492 19472
940 19348 19368 19497 19477
941 19477 19497 19502 19482
