# NodeID X Y Z
511 0.100000 0.000000 0.500000
512 0.100000 0.025000 0.500000
513 0.100000 0.050000 0.425000
514 0.100000 0.050000 0.450000
515 0.100000 0.050000 0.475000
516 0.100000 0.050000 0.500000
517 0.100000 0.075000 0.425000
518 0.100000 0.075000 0.450000
519 0.100000 0.075000 0.475000
520 0.100000 0.075000 0.500000
521 0.100000 0.100000 0.425000
522 0.100000 0.100000 0.450000
523 0.100000 0.100000 0.475000
524 0.100000 0.100000 0.500000
525 0.000000 0.000000 0.525000
526 0.025000 0.000000 0.525000
527 0.025000 0.025000 0.525000
528 0.000000 0.025000 0.525000
529 0.000000 0.000000 0.550000
530 0.025000 0.000000 0.550000
531 0.025000 0.025000 0.550000
532 0.000000 0.025000 0.550000
533 0.000000 0.000000 0.575000
534 0.025000 0.000000 0.575000
535 0.025000 0.025000 0.575000
536 0.000000 0.025000 0.575000
537 0.000000 0.000000 0.600000
538 0.025000 0.000000 0.600000
539 0.025000 0.025000 0.600000
540 0.000000 0.025000 0.600000
541 0.025000 0.050000 0.525000
542 0.000000 0.050000 0.525000
543 0.025000 0.050000 0.550000
544 0.000000 0.050000 0.550000
545 0.025000 0.050000 0.575000
546 0.000000 0.050000 0.575000
547 0.025000 0.050000 0.600000
548 0.000000 0.050000 0.600000
549 0.025000 0.075000 0.525000
550 0.000000 0.075000 0.525000
551 0.025000 0.075000 0.550000
552 0.000000 0.075000 0.550000
553 0.025000 0.075000 0.575000
554 0.000000 0.075000 0.575000
555 0.025000 0.075000 0.600000
556 0.000000 0.075000 0.600000
557 0.025000 0.100000 0.525000
558 0.000000 0.100000 0.525000
559 0.025000 0.100000 0.550000
560 0.000000 0.100000 0.550000
561 0.025000 0.100000 0.575000
562 0.000000 0.100000 0.575000
563 0.025000 0.100000 0.600000
564 0.000000 0.100000 0.600000
565 0.050000 0.000000 0.525000
566 0.050000 0.025000 0.525000
567 0.050000 0.000000 0.550000
568 0.050000 0.025000 0.550000
569 0.050000 0.000000 0.575000
570 0.050000 0.025000 0.575000
571 0.050000 0.000000 0.600000
572 0.050000 0.025000 0.600000
573 0.050000 0.050000 0.525000
574 0.050000 0.050000 0.550000
575 0.050000 0.050000 0.575000
576 0.050000 0.050000 0.600000
577 0.050000 0.075000 0.525000
578 0.050000 0.075000 0.550000
579 0.050000 0.075000 0.575000
580 0.050000 0.075000 0.600000
581 0.050000 0.100000 0.525000
582 0.050000 0.100000 0.550000
583 0.050000 0.100000 0.575000
584 0.050000 0.100000 0.600000
585 0.075000 0.000000 0.525000
586 0.075000 0.025000 0.525000
587 0.075000 0.000000 0.550000
588 0.075000 0.025000 0.550000
589 0.075000 0.000000 0.575000
590 0.075000 0.025000 0.575000
591 0.075000 0.000000 0.600000
592 0.075000 0.025000 0.600000
593 0.075000 0.050000 0.525000
594 0.075000 0.050000 0.550000
595 0.075000 0.050000 0.575000
596 0.075000 0.050000 0.600000
597 0.075000 0.075000 0.525000
598 0.075000 0.075000 0.550000
599 0.075000 0.075000 0.575000
600 0.075000 0.075000 0.600000
601 0.075000 0.100000 0.525000
602 0.075000 0.100000 0.550000
603 0.075000 0.100000 0.575000
604 0.075000 0.100000 0.600000
605 0.100000 0.000000 0.525000
606 0.100000 0.025000 0.525000
607 0.100000 0.000000 0.550000
608 0.100000 0.025000 0.550000
609 0.100000 0.000000 0.575000
610 0.100000 0.025000 0.575000
611 0.100000 0.000000 0.600000
612 0.100000 0.025000 0.600000
613 0.100000 0.050000 0.525000
614 0.100000 0.050000 0.550000
615 0.100000 0.050000 0.575000
616 0.100000 0.050000 0.600000
617 0.100000 0.075000 0.525000
618 0.100000 0.075000 0.550000
619 0.100000 0.075000 0.575000
620 0.100000 0.075000 0.600000
621 0.100000 0.100000 0.525000
622 0.100000 0.100000 0.550000
623 0.100000 0.100000 0.575000
624 0.100000 0.100000 0.600000
625 0.000000 0.000000 0.625000
626 0.025000 0.000000 0.625000
627 0.025000 0.025000 0.625000
628 0.000000 0.025000 0.625000
629 0.000000 0.000000 0.650000
630 0.025000 0.000000 0.650000
631 0.025000 0.025000 0.650000
632 0.000000 0.025000 0.650000
633 0.000000 0.000000 0.675000
634 0.025000 0.000000 0.675000
635 0.025000 0.025000 0.675000
636 0.000000 0.025000 0.675000
637 0.000000 0.000000 0.700000
638 0.025000 0.000000 0.700000
639 0.025000 0.025000 0.700000
